go_category,go_description,go_id,accession,protein_dcid,go_dcid
dcs:GeneOntologyTypeBiologicalProcess,dUMP catabolic process,"""GO:0046079""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0046079
dcs:GeneOntologyTypeCellularComponent,mitochondrial matrix,"""GO:0005759""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0005759
dcs:GeneOntologyTypeMolecularFunction,"hydrolase activity, acting on ester bonds","""GO:0016788""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0016788
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,hydrolase activity,"""GO:0016787""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0016787
dcs:GeneOntologyTypeMolecularFunction,phosphoric ester hydrolase activity,"""GO:0042578""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0042578
dcs:GeneOntologyTypeMolecularFunction,phosphatase activity,"""GO:0016791""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0016791
dcs:GeneOntologyTypeMolecularFunction,5'-nucleotidase activity,"""GO:0008253""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0008253
dcs:GeneOntologyTypeMolecularFunction,metal ion binding,"""GO:0046872""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0046872
dcs:GeneOntologyTypeMolecularFunction,nucleotide binding,"""GO:0000166""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0000166
dcs:GeneOntologyTypeBiologicalProcess,acyl-CoA metabolic process,"""GO:0006637""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0006637
dcs:GeneOntologyTypeBiologicalProcess,embryo development,"""GO:0009790""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0009790
dcs:GeneOntologyTypeBiologicalProcess,ketone body biosynthetic process,"""GO:0046951""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0046951
dcs:GeneOntologyTypeBiologicalProcess,liver development,"""GO:0001889""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0001889
dcs:GeneOntologyTypeBiologicalProcess,response to nutrient,"""GO:0007584""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0007584
dcs:GeneOntologyTypeBiologicalProcess,response to starvation,"""GO:0042594""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0042594
dcs:GeneOntologyTypeBiologicalProcess,protein tetramerization,"""GO:0051262""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0051262
dcs:GeneOntologyTypeBiologicalProcess,response to fatty acid,"""GO:0070542""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0070542
dcs:GeneOntologyTypeBiologicalProcess,mitochondrion organization,"""GO:0007005""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0007005
dcs:GeneOntologyTypeBiologicalProcess,cellular lipid metabolic process,"""GO:0044255""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0044255
dcs:GeneOntologyTypeBiologicalProcess,leucine catabolic process,"""GO:0006552""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0006552
dcs:GeneOntologyTypeCellularComponent,mitochondrial matrix,"""GO:0005759""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0005759
dcs:GeneOntologyTypeCellularComponent,peroxisome,"""GO:0005777""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0005777
dcs:GeneOntologyTypeCellularComponent,mitochondrial inner membrane,"""GO:0005743""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0005743
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,lyase activity,"""GO:0016829""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0016829
dcs:GeneOntologyTypeMolecularFunction,carbon-carbon lyase activity,"""GO:0016830""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0016830
dcs:GeneOntologyTypeMolecularFunction,oxo-acid-lyase activity,"""GO:0016833""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0016833
dcs:GeneOntologyTypeMolecularFunction,hydroxymethylglutaryl-coa lyase activity,"""GO:0004419""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0004419
dcs:GeneOntologyTypeMolecularFunction,manganese ion binding,"""GO:0030145""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0030145
dcs:GeneOntologyTypeMolecularFunction,magnesium ion binding,"""GO:0000287""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0000287
dcs:GeneOntologyTypeMolecularFunction,carboxylic acid binding,"""GO:0031406""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0031406
dcs:GeneOntologyTypeMolecularFunction,protein homodimerization activity,"""GO:0042803""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0042803
dcs:GeneOntologyTypeMolecularFunction,hydroxymethylglutaryl-CoA lyase activity,"""GO:0004419""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0004419
dcs:GeneOntologyTypeMolecularFunction,fatty-acyl-CoA binding,"""GO:0000062""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0000062
dcs:GeneOntologyTypeBiologicalProcess,metabolic process,"""GO:0008152""",HMDBP00009,bio/HMGCL_HUMAN,bio/GO_0008152
dcs:GeneOntologyTypeBiologicalProcess,ATP catabolic process,"""GO:0006200""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0006200
dcs:GeneOntologyTypeBiologicalProcess,cellular carbohydrate metabolic process,"""GO:0044262""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0044262
dcs:GeneOntologyTypeBiologicalProcess,citrate metabolic process,"""GO:0006101""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0006101
dcs:GeneOntologyTypeBiologicalProcess,coenzyme A metabolic process,"""GO:0015936""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0015936
dcs:GeneOntologyTypeBiologicalProcess,energy reserve metabolic process,"""GO:0006112""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0006112
dcs:GeneOntologyTypeBiologicalProcess,long-chain fatty-acyl-CoA biosynthetic process,"""GO:0035338""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0035338
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of cellular metabolic process,"""GO:0031325""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0031325
dcs:GeneOntologyTypeBiologicalProcess,triglyceride biosynthetic process,"""GO:0019432""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0019432
dcs:GeneOntologyTypeCellularComponent,cytosol,"""GO:0005829""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0005829
dcs:GeneOntologyTypeCellularComponent,mitochondrion,"""GO:0005739""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0005739
dcs:GeneOntologyTypeCellularComponent,plasma membrane,"""GO:0005886""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0005886
dcs:GeneOntologyTypeCellularComponent,nucleus,"""GO:0005634""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0005634
dcs:GeneOntologyTypeCellularComponent,citrate lyase complex,"""GO:0009346""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0009346
dcs:GeneOntologyTypeCellularComponent,cell part,"""GO:0032990""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0032990
dcs:GeneOntologyTypeCellularComponent,intracellular part,"""GO:0033646""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0033646
dcs:GeneOntologyTypeCellularComponent,cytoplasm,"""GO:0005737""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0005737
dcs:GeneOntologyTypeMolecularFunction,binding,"""GO:0005488""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0005488
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,transferase activity,"""GO:0016740""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0016740
dcs:GeneOntologyTypeMolecularFunction,nucleoside binding,"""GO:0001882""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0001882
dcs:GeneOntologyTypeMolecularFunction,purine nucleoside binding,"""GO:0001883""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0001883
dcs:GeneOntologyTypeMolecularFunction,adenyl nucleotide binding,"""GO:0030554""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0030554
dcs:GeneOntologyTypeMolecularFunction,adenyl ribonucleotide binding,"""GO:0032559""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0032559
dcs:GeneOntologyTypeMolecularFunction,atp binding,"""GO:0005524""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0005524
dcs:GeneOntologyTypeMolecularFunction,ligase activity,"""GO:0016874""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0016874
dcs:GeneOntologyTypeMolecularFunction,"ligase activity, forming carbon-sulfur bonds","""GO:0016877""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0016877
dcs:GeneOntologyTypeMolecularFunction,coa-ligase activity,"""GO:0016405""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0016405
dcs:GeneOntologyTypeMolecularFunction,succinate-coa ligase activity,"""GO:0004774""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0004774
dcs:GeneOntologyTypeMolecularFunction,succinate-coa ligase (adp-forming) activity,"""GO:0004775""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0004775
dcs:GeneOntologyTypeMolecularFunction,"transferase activity, transferring acyl groups","""GO:0016746""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0016746
dcs:GeneOntologyTypeMolecularFunction,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer","""GO:0046912""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0046912
dcs:GeneOntologyTypeMolecularFunction,atp citrate synthase activity,"""GO:0003878""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0003878
dcs:GeneOntologyTypeMolecularFunction,metal ion binding,"""GO:0046872""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0046872
dcs:GeneOntologyTypeMolecularFunction,ATP binding,"""GO:0005524""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0005524
dcs:GeneOntologyTypeMolecularFunction,ATP citrate synthase activity,"""GO:0003878""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0003878
dcs:GeneOntologyTypeMolecularFunction,cofactor binding,"""GO:0048037""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0048037
dcs:GeneOntologyTypeMolecularFunction,succinate-CoA ligase (ADP-forming) activity,"""GO:0004775""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0004775
dcs:GeneOntologyTypeBiologicalProcess,metabolic process,"""GO:0008152""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0008152
dcs:GeneOntologyTypeBiologicalProcess,primary metabolic process,"""GO:0044238""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0044238
dcs:GeneOntologyTypeBiologicalProcess,carbohydrate metabolic process,"""GO:0005975""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0005975
dcs:GeneOntologyTypeBiologicalProcess,cellular carbohydrate metabolic process,"""GO:0044262""",HMDBP00010,bio/ACLY_HUMAN,bio/GO_0044262
dcs:GeneOntologyTypeBiologicalProcess,cell cycle,"""GO:0007049""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0007049
dcs:GeneOntologyTypeBiologicalProcess,organ morphogenesis,"""GO:0009887""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0009887
dcs:GeneOntologyTypeBiologicalProcess,response to retinoic acid,"""GO:0032526""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0032526
dcs:GeneOntologyTypeBiologicalProcess,Notch signaling pathway,"""GO:0007219""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0007219
dcs:GeneOntologyTypeBiologicalProcess,response to calcium ion,"""GO:0051592""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0051592
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of protein secretion,"""GO:0050714""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0050714
dcs:GeneOntologyTypeBiologicalProcess,liver development,"""GO:0001889""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0001889
dcs:GeneOntologyTypeBiologicalProcess,histone H4 acetylation,"""GO:0043967""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043967
dcs:GeneOntologyTypeBiologicalProcess,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,"""GO:0042771""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0042771
dcs:GeneOntologyTypeBiologicalProcess,response to drug,"""GO:0042493""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0042493
dcs:GeneOntologyTypeBiologicalProcess,positive regulation by host of viral transcription,"""GO:0043923""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043923
dcs:GeneOntologyTypeBiologicalProcess,response to ethanol,"""GO:0045471""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0045471
dcs:GeneOntologyTypeBiologicalProcess,digestive tract development,"""GO:0048565""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0048565
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of axon extension,"""GO:0045773""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0045773
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of cell size,"""GO:0045793""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0045793
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of collagen biosynthetic process,"""GO:0032967""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0032967
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of DNA binding,"""GO:0043388""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043388
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of glycoprotein biosynthetic process,"""GO:0010560""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0010560
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of protein binding,"""GO:0032092""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0032092
dcs:GeneOntologyTypeBiologicalProcess,"positive regulation of protein import into nucleus, translocation","""GO:0033160""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0033160
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of protein phosphorylation,"""GO:0001934""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0001934
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of proteolysis,"""GO:0045862""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0045862
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of sarcomere organization,"""GO:0060298""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0060298
dcs:GeneOntologyTypeBiologicalProcess,protein kinase B signaling cascade,"""GO:0043491""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043491
dcs:GeneOntologyTypeBiologicalProcess,protein-DNA complex assembly,"""GO:0065004""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0065004
dcs:GeneOntologyTypeBiologicalProcess,regulation of angiotensin metabolic process,"""GO:0060177""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0060177
dcs:GeneOntologyTypeBiologicalProcess,heart development,"""GO:0007507""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0007507
dcs:GeneOntologyTypeBiologicalProcess,skeletal muscle tissue development,"""GO:0007519""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0007519
dcs:GeneOntologyTypeBiologicalProcess,somitogenesis,"""GO:0001756""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0001756
dcs:GeneOntologyTypeBiologicalProcess,response to glucocorticoid stimulus,"""GO:0051384""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0051384
dcs:GeneOntologyTypeBiologicalProcess,nervous system development,"""GO:0007399""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0007399
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of sequence-specific DNA binding transcription factor activity,"""GO:0051091""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0051091
dcs:GeneOntologyTypeBiologicalProcess,innate immune response,"""GO:0045087""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0045087
dcs:GeneOntologyTypeBiologicalProcess,regulation of androgen receptor signaling pathway,"""GO:0060765""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0060765
dcs:GeneOntologyTypeBiologicalProcess,virus-host interaction,"""GO:0019048""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0019048
dcs:GeneOntologyTypeBiologicalProcess,negative regulation of transcription from RNA polymerase II promoter,"""GO:0000122""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0000122
dcs:GeneOntologyTypeBiologicalProcess,positive regulation of transcription from RNA polymerase II promoter,"""GO:0045944""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0045944
dcs:GeneOntologyTypeBiologicalProcess,response to glucose stimulus,"""GO:0009749""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0009749
dcs:GeneOntologyTypeBiologicalProcess,response to fatty acid,"""GO:0070542""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0070542
dcs:GeneOntologyTypeBiologicalProcess,regulation of transcription from RNA polymerase II promoter in response to hypoxia,"""GO:0061418""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0061418
dcs:GeneOntologyTypeBiologicalProcess,lung development,"""GO:0030324""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0030324
dcs:GeneOntologyTypeBiologicalProcess,"transcription, DNA-dependent","""GO:0006351""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0006351
dcs:GeneOntologyTypeBiologicalProcess,cellular response to hydrogen peroxide,"""GO:0070301""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0070301
dcs:GeneOntologyTypeBiologicalProcess,N-terminal peptidyl-lysine acetylation,"""GO:0018076""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0018076
dcs:GeneOntologyTypeBiologicalProcess,response to cobalt ion,"""GO:0032025""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0032025
dcs:GeneOntologyTypeBiologicalProcess,response to estrogen stimulus,"""GO:0043627""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043627
dcs:GeneOntologyTypeCellularComponent,cytoplasm,"""GO:0005737""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0005737
dcs:GeneOntologyTypeCellularComponent,nucleoplasm,"""GO:0005654""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0005654
dcs:GeneOntologyTypeCellularComponent,protein-DNA complex,"""GO:0032993""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0032993
dcs:GeneOntologyTypeCellularComponent,chromatin,"""GO:0000785""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0000785
dcs:GeneOntologyTypeCellularComponent,histone acetyltransferase complex,"""GO:0000123""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0000123
dcs:GeneOntologyTypeCellularComponent,transcription factor complex,"""GO:0005667""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0005667
dcs:GeneOntologyTypeCellularComponent,macromolecular complex,"""GO:0002095""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0002095
dcs:GeneOntologyTypeCellularComponent,protein complex,"""GO:0043234""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043234
dcs:GeneOntologyTypeCellularComponent,histone acetyltransferase complex,"""GO:0000123""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0000123
dcs:GeneOntologyTypeCellularComponent,organelle,"""GO:0043226""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043226
dcs:GeneOntologyTypeCellularComponent,membrane-bounded organelle,"""GO:0043227""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043227
dcs:GeneOntologyTypeCellularComponent,intracellular membrane-bounded organelle,"""GO:0043231""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043231
dcs:GeneOntologyTypeCellularComponent,nucleus,"""GO:0005634""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0005634
dcs:GeneOntologyTypeMolecularFunction,ion binding,"""GO:0043167""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043167
dcs:GeneOntologyTypeMolecularFunction,cation binding,"""GO:0043169""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043169
dcs:GeneOntologyTypeMolecularFunction,metal ion binding,"""GO:0046872""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0046872
dcs:GeneOntologyTypeMolecularFunction,binding,"""GO:0005488""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0005488
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,transition metal ion binding,"""GO:0046914""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0046914
dcs:GeneOntologyTypeMolecularFunction,zinc ion binding,"""GO:0008270""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0008270
dcs:GeneOntologyTypeMolecularFunction,transferase activity,"""GO:0016740""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0016740
dcs:GeneOntologyTypeMolecularFunction,"transferase activity, transferring acyl groups","""GO:0016746""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0016746
dcs:GeneOntologyTypeMolecularFunction,"transferase activity, transferring acyl groups other than amino-acyl groups","""GO:0016747""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0016747
dcs:GeneOntologyTypeMolecularFunction,acyltransferase activity,"""GO:0016746""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0016746
dcs:GeneOntologyTypeMolecularFunction,acetyltransferase activity,"""GO:0016407""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0016407
dcs:GeneOntologyTypeMolecularFunction,n-acetyltransferase activity,"""GO:0008080""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0008080
dcs:GeneOntologyTypeMolecularFunction,lysine n-acetyltransferase activity,"""GO:0061733""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0061733
dcs:GeneOntologyTypeMolecularFunction,histone acetyltransferase activity,"""GO:0004402""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0004402
dcs:GeneOntologyTypeMolecularFunction,transcription coactivator activity,"""GO:0003713""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0003713
dcs:GeneOntologyTypeMolecularFunction,protein binding,"""GO:0005515""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0005515
dcs:GeneOntologyTypeMolecularFunction,transcription factor binding,"""GO:0008134""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0008134
dcs:GeneOntologyTypeMolecularFunction,transcription cofactor activity,"""GO:0003712""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0003712
dcs:GeneOntologyTypeMolecularFunction,metal ion binding,"""GO:0046872""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0046872
dcs:GeneOntologyTypeMolecularFunction,sequence-specific DNA binding transcription factor activity,"""GO:0003700""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0003700
dcs:GeneOntologyTypeMolecularFunction,antigen binding,"""GO:0003823""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0003823
dcs:GeneOntologyTypeMolecularFunction,chromatin DNA binding,"""GO:0031490""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0031490
dcs:GeneOntologyTypeMolecularFunction,core promoter binding,"""GO:0001047""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0001047
dcs:GeneOntologyTypeMolecularFunction,lysine N-acetyltransferase activity,"""GO:0004468""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0004468
dcs:GeneOntologyTypeMolecularFunction,zinc ion binding,"""GO:0008270""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0008270
dcs:GeneOntologyTypeMolecularFunction,transcription coactivator activity,"""GO:0003713""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0003713
dcs:GeneOntologyTypeMolecularFunction,chromatin binding,"""GO:0003682""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0003682
dcs:GeneOntologyTypeMolecularFunction,RNA polymerase II core promoter proximal region sequence-specific DNA binding,"""GO:0000978""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0000978
dcs:GeneOntologyTypeMolecularFunction,histone acetyltransferase activity,"""GO:0004402""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0004402
dcs:GeneOntologyTypeBiologicalProcess,cellular process,"""GO:0009987""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0009987
dcs:GeneOntologyTypeBiologicalProcess,cellular component organization at cellular level,"""GO:0043954""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0043954
dcs:GeneOntologyTypeBiologicalProcess,organelle organization,"""GO:0006996""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0006996
dcs:GeneOntologyTypeBiologicalProcess,chromosome organization,"""GO:0051276""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0051276
dcs:GeneOntologyTypeBiologicalProcess,chromatin organization,"""GO:0006325""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0006325
dcs:GeneOntologyTypeBiologicalProcess,chromatin modification,"""GO:0016568""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0016568
dcs:GeneOntologyTypeBiologicalProcess,covalent chromatin modification,"""GO:0016569""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0016569
dcs:GeneOntologyTypeBiologicalProcess,histone modification,"""GO:0016570""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0016570
dcs:GeneOntologyTypeBiologicalProcess,histone acetylation,"""GO:0016573""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0016573
dcs:GeneOntologyTypeBiologicalProcess,biological regulation,"""GO:0065007""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0065007
dcs:GeneOntologyTypeBiologicalProcess,regulation of biological process,"""GO:0050789""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0050789
dcs:GeneOntologyTypeBiologicalProcess,regulation of metabolic process,"""GO:0019222""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0019222
dcs:GeneOntologyTypeBiologicalProcess,regulation of macromolecule metabolic process,"""GO:0060255""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0060255
dcs:GeneOntologyTypeBiologicalProcess,regulation of gene expression,"""GO:0010468""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0010468
dcs:GeneOntologyTypeBiologicalProcess,regulation of transcription,"""GO:0140542""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0140542
dcs:GeneOntologyTypeBiologicalProcess,"regulation of transcription, dna-dependent","""GO:0006355""",HMDBP00011,bio/EP300_HUMAN,bio/GO_0006355
dcs:GeneOntologyTypeBiologicalProcess,regulation of acetyl-CoA biosynthetic process from pyruvate,"""GO:0010510""",HMDBP00012,bio/ODPB_HUMAN,bio/GO_0010510
dcs:GeneOntologyTypeBiologicalProcess,glycolysis,"""GO:0006096""",HMDBP00012,bio/ODPB_HUMAN,bio/GO_0006096
dcs:GeneOntologyTypeBiologicalProcess,tricarboxylic acid cycle,"""GO:0006099""",HMDBP00012,bio/ODPB_HUMAN,bio/GO_0006099
dcs:GeneOntologyTypeBiologicalProcess,acetyl-CoA biosynthetic process from pyruvate,"""GO:0006086""",HMDBP00012,bio/ODPB_HUMAN,bio/GO_0006086
dcs:GeneOntologyTypeCellularComponent,mitochondrial matrix,"""GO:0005759""",HMDBP00012,bio/ODPB_HUMAN,bio/GO_0005759
