accession,protein_pathway,protein_dcid
HMDBP00812,dcs:KeggProteinPathwayPyruvateDehydrogenaseComplexDeficiency,bio/GLO2_HUMAN
HMDBP00812,dcs:KeggProteinPathwayPyruvateKinaseDeficiency,bio/GLO2_HUMAN
HMDBP00812,dcs:KeggProteinPathwayPyruvateMetabolism,bio/GLO2_HUMAN
HMDBP00813,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTK1_HUMAN
HMDBP00813,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTK1_HUMAN
HMDBP00813,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTK1_HUMAN
HMDBP00813,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTK1_HUMAN
HMDBP00813,dcs:KeggProteinPathwayPeroxisome,bio/GSTK1_HUMAN
HMDBP00814,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/MGST3_HUMAN
HMDBP00814,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/MGST3_HUMAN
HMDBP00814,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/MGST3_HUMAN
HMDBP00814,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/MGST3_HUMAN
HMDBP00815,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTM3_HUMAN
HMDBP00815,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTM3_HUMAN
HMDBP00815,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTM3_HUMAN
HMDBP00815,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTM3_HUMAN
HMDBP00816,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTA1_HUMAN
HMDBP00816,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTA1_HUMAN
HMDBP00816,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTA1_HUMAN
HMDBP00816,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTA1_HUMAN
HMDBP00817,dcs:KeggProteinPathwayAlkaptonuria,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayDisulfiramActionPathway,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayDopamineBetaHydroxylaseDeficiency,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayHawkinsinuria,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayLPhenylalanineDegradation,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayMonoamineOxidaseADeficiencyMaoA,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayPhenylalanineAndTyrosineMetabolism,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayPhenylketonuria,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayTyrosineMetabolism,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayTyrosinemiaType2OrRichnerHanhartSyndrome,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayTyrosinemiaType3Tyro3,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayTyrosinemiaTypeI,bio/MAAI_HUMAN
HMDBP00817,dcs:KeggProteinPathwayTyrosinemiaTransientOfTheNewborn,bio/MAAI_HUMAN
HMDBP00818,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/MGST1_HUMAN
HMDBP00818,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/MGST1_HUMAN
HMDBP00818,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/MGST1_HUMAN
HMDBP00818,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/MGST1_HUMAN
HMDBP00819,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTM4_HUMAN
HMDBP00819,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTM4_HUMAN
HMDBP00819,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTM4_HUMAN
HMDBP00819,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTM4_HUMAN
HMDBP00820,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTM5_HUMAN
HMDBP00820,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTM5_HUMAN
HMDBP00820,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTM5_HUMAN
HMDBP00820,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTM5_HUMAN
HMDBP00821,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/MGST2_HUMAN
HMDBP00821,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/MGST2_HUMAN
HMDBP00821,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/MGST2_HUMAN
HMDBP00821,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/MGST2_HUMAN
HMDBP00822,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTO1_HUMAN
HMDBP00822,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTO1_HUMAN
HMDBP00822,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTO1_HUMAN
HMDBP00822,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTO1_HUMAN
HMDBP00823,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTA5_HUMAN
HMDBP00823,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTA5_HUMAN
HMDBP00823,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTA5_HUMAN
HMDBP00823,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTA5_HUMAN
HMDBP00824,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTA2_HUMAN
HMDBP00824,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTA2_HUMAN
HMDBP00824,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTA2_HUMAN
HMDBP00824,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTA2_HUMAN
HMDBP00825,dcs:KeggProteinPathwayArachidonicAcidMetabolism,bio/GPX6_HUMAN
HMDBP00825,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GPX6_HUMAN
HMDBP00826,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTA3_HUMAN
HMDBP00826,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTA3_HUMAN
HMDBP00826,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTA3_HUMAN
HMDBP00826,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTA3_HUMAN
HMDBP00827,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTA4_HUMAN
HMDBP00827,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTA4_HUMAN
HMDBP00827,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTA4_HUMAN
HMDBP00827,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTA4_HUMAN
HMDBP00828,dcs:KeggProteinPathway5OxoprolinaseDeficiency,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathway5Oxoprolinuria,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayAcetaminophenActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayAcetylsalicylicAcidActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayAmyotrophicLateralSclerosisAls,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayAntipyrineActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayAntrafenineActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayArachidonicAcidMetabolism,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayBromfenacActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayCarprofenActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayCelecoxibActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayDiclofenacActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayDiflunisalActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayEtodolacActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayEtoricoxibActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayFenoprofenActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayFlurbiprofenActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayGammaGlutamylTranspeptidaseDeficiency,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayGammaGlutamyltransferaseDeficiency,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayGlutathioneSynthetaseDeficiency,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayHuntingtonSDisease,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayIbuprofenActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayIndomethacinActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayKetoprofenActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayKetorolacActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayLeukotrieneC4SynthesisDeficiency,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayLornoxicamActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayLumiracoxibActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayMagnesiumSalicylateActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayMefenamicAcidActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayMeloxicamActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayNabumetoneActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayNaproxenActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayNepafenacActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayOxaprozinActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayPhenylbutazoneActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayPiroxicamActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayRofecoxibActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwaySalicylateSodiumActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwaySalicylicAcidActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwaySalsalateActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwaySulindacActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwaySuprofenActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayTenoxicamActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayTiaprofenicAcidActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayTolmetinActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayTrisalicylateCholineActionPathway,bio/GPX1_HUMAN
HMDBP00828,dcs:KeggProteinPathwayValdecoxibActionPathway,bio/GPX1_HUMAN
HMDBP00829,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GPX4_HUMAN
HMDBP00830,dcs:KeggProteinPathwayArachidonicAcidMetabolism,bio/GPX3_HUMAN
HMDBP00830,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GPX3_HUMAN
HMDBP00831,dcs:KeggProteinPathway5OxoprolinaseDeficiency,bio/GSTO2_HUMAN
HMDBP00831,dcs:KeggProteinPathway5Oxoprolinuria,bio/GSTO2_HUMAN
HMDBP00831,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTO2_HUMAN
HMDBP00831,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTO2_HUMAN
HMDBP00831,dcs:KeggProteinPathwayGammaGlutamylTranspeptidaseDeficiency,bio/GSTO2_HUMAN
HMDBP00831,dcs:KeggProteinPathwayGammaGlutamyltransferaseDeficiency,bio/GSTO2_HUMAN
HMDBP00831,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTO2_HUMAN
HMDBP00831,dcs:KeggProteinPathwayGlutathioneSynthetaseDeficiency,bio/GSTO2_HUMAN
HMDBP00831,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTO2_HUMAN
HMDBP00832,dcs:KeggProteinPathwayAcetaminophenMetabolismPathway,bio/GSTT1_HUMAN
HMDBP00832,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTT1_HUMAN
HMDBP00832,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTT1_HUMAN
HMDBP00832,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTT1_HUMAN
HMDBP00832,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTT1_HUMAN
HMDBP00833,dcs:KeggProteinPathwayArachidonicAcidMetabolism,bio/GPX2_HUMAN
HMDBP00833,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GPX2_HUMAN
HMDBP00834,dcs:KeggProteinPathwayAcetaminophenMetabolismPathway,bio/GSTP1_HUMAN
HMDBP00834,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/GSTP1_HUMAN
HMDBP00834,dcs:KeggProteinPathwayDrugMetabolismCytochromeP450,bio/GSTP1_HUMAN
HMDBP00834,dcs:KeggProteinPathwayGlutathioneMetabolism,bio/GSTP1_HUMAN
HMDBP00834,dcs:KeggProteinPathwayMetabolismOfXenobioticsByCytochromeP450,bio/GSTP1_HUMAN
HMDBP00834,dcs:KeggProteinPathwayProstateCancer,bio/GSTP1_HUMAN
HMDBP00835,dcs:KeggProteinPathwayGlycerolDegradationViaGlycerolKinasePathway,bio/GLPK2_HUMAN
HMDBP00835,dcs:KeggProteinPathwayGlycerolipidMetabolism,bio/GLPK2_HUMAN
HMDBP00835,dcs:KeggProteinPathwayPparSignalingPathway,bio/GLPK2_HUMAN
HMDBP00836,dcs:KeggProteinPathwayDGlycericAcidura,bio/GLPK_HUMAN
HMDBP00836,dcs:KeggProteinPathwayFamilialLipoproteinLipaseDeficiency,bio/GLPK_HUMAN
HMDBP00836,dcs:KeggProteinPathwayGlycerolDegradationViaGlycerolKinasePathway,bio/GLPK_HUMAN
HMDBP00836,dcs:KeggProteinPathwayGlycerolKinaseDeficiency,bio/GLPK_HUMAN
HMDBP00836,dcs:KeggProteinPathwayGlycerolipidMetabolism,bio/GLPK_HUMAN
HMDBP00836,dcs:KeggProteinPathwayPparSignalingPathway,bio/GLPK_HUMAN
HMDBP00837,dcs:KeggProteinPathwayCardiolipinBiosynthesis,bio/GPDA_HUMAN
HMDBP00837,dcs:KeggProteinPathwayDGlycericAcidura,bio/GPDA_HUMAN
HMDBP00837,dcs:KeggProteinPathwayDeNovoTriacylglycerolBiosynthesis,bio/GPDA_HUMAN
HMDBP00837,dcs:KeggProteinPathwayFamilialLipoproteinLipaseDeficiency,bio/GPDA_HUMAN
HMDBP00837,dcs:KeggProteinPathwayGlycerolKinaseDeficiency,bio/GPDA_HUMAN
HMDBP00837,dcs:KeggProteinPathwayGlycerolPhosphateShuttle,bio/GPDA_HUMAN
HMDBP00837,dcs:KeggProteinPathwayGlycerolipidMetabolism,bio/GPDA_HUMAN
HMDBP00837,dcs:KeggProteinPathwayGlycerophospholipidMetabolism,bio/GPDA_HUMAN
HMDBP00837,dcs:KeggProteinPathwayMitochondrialElectronTransportChain,bio/GPDA_HUMAN
HMDBP00837,dcs:KeggProteinPathwayPhospholipidBiosynthesis,bio/GPDA_HUMAN
HMDBP00838,dcs:KeggProteinPathwayCardiolipinBiosynthesis,bio/GPAT1_HUMAN
HMDBP00838,dcs:KeggProteinPathwayCdpDiacylglycerolBiosynthesis,bio/GPAT1_HUMAN
HMDBP00838,dcs:KeggProteinPathwayDGlycericAcidura,bio/GPAT1_HUMAN
HMDBP00838,dcs:KeggProteinPathwayDeNovoTriacylglycerolBiosynthesis,bio/GPAT1_HUMAN
HMDBP00838,dcs:KeggProteinPathwayFamilialLipoproteinLipaseDeficiency,bio/GPAT1_HUMAN
HMDBP00838,dcs:KeggProteinPathwayGlycerolKinaseDeficiency,bio/GPAT1_HUMAN
HMDBP00838,dcs:KeggProteinPathwayGlycerolipidMetabolism,bio/GPAT1_HUMAN
HMDBP00838,dcs:KeggProteinPathwayGlycerophospholipidMetabolism,bio/GPAT1_HUMAN
HMDBP00838,dcs:KeggProteinPathwayPhospholipidBiosynthesis,bio/GPAT1_HUMAN
HMDBP00839,dcs:KeggProteinPathwayAcuteIntermittentPorphyria,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayCongenitalErythropoieticPorphyriaCepOrGuntherDisease,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayDrugMetabolismOtherEnzymes,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayGlycogenSynthetaseDeficiency,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayGlycogenosisTypeIiiCoriDiseaseDebrancherGlycogenosis,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayGlycogenosisTypeIvAmylopectinosisAndersonDisease,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayGlycogenosisTypeViHersDisease,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayGlycosaminoglycanDegradation,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayHereditaryCoproporphyriaHcp,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayLysosome,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayMucopolysaccharidosisViSlySyndrome,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayPentoseAndGlucuronateInterconversions,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayPorphyriaVariegataPv,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayPorphyrinAndChlorophyllMetabolism,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayPorphyrinMetabolism,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwayStarchAndSucroseMetabolism,bio/BGLR_HUMAN
HMDBP00839,dcs:KeggProteinPathwaySucraseIsomaltaseDeficiency,bio/BGLR_HUMAN
HMDBP00840,dcs:KeggProteinPathwayAscorbateAndAldarateMetabolism,bio/MIOX_HUMAN
HMDBP00840,dcs:KeggProteinPathwayInositolMetabolism,bio/MIOX_HUMAN
HMDBP00840,dcs:KeggProteinPathwayInositolPhosphateMetabolism,bio/MIOX_HUMAN
HMDBP00840,dcs:KeggProteinPathwayMyoInositolDegradationIntoDGlucuronate,bio/MIOX_HUMAN
HMDBP00841,dcs:KeggProteinPathwayAlkaptonuria,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayDisulfiramActionPathway,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayDopamineBetaHydroxylaseDeficiency,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayHawkinsinuria,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayLPhenylalanineDegradation,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayMonoamineOxidaseADeficiencyMaoA,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayPhenylalanineAndTyrosineMetabolism,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayPhenylalanineMetabolism,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayPhenylketonuria,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayTyrosineMetabolism,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayTyrosinemiaType2OrRichnerHanhartSyndrome,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayTyrosinemiaType3Tyro3,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayTyrosinemiaTypeI,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayTyrosinemiaTransientOfTheNewborn,bio/HPPD_HUMAN
HMDBP00841,dcs:KeggProteinPathwayUbiquinoneAndOtherTerpenoidQuinoneBiosynthesis,bio/HPPD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayAlkaptonuria,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayDisulfiramActionPathway,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayDopamineBetaHydroxylaseDeficiency,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayHawkinsinuria,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayLPhenylalanineDegradation,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayMonoamineOxidaseADeficiencyMaoA,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayPhenylalanineAndTyrosineMetabolism,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayPhenylketonuria,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayTyrosineMetabolism,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayTyrosinemiaType2OrRichnerHanhartSyndrome,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayTyrosinemiaType3Tyro3,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayTyrosinemiaTypeI,bio/HGD_HUMAN
HMDBP00842,dcs:KeggProteinPathwayTyrosinemiaTransientOfTheNewborn,bio/HGD_HUMAN
HMDBP00843,dcs:KeggProteinPathwayGalactoseMetabolism,bio/BGAL_HUMAN
HMDBP00843,dcs:KeggProteinPathwayGlycosaminoglycanDegradation,bio/BGAL_HUMAN
HMDBP00843,dcs:KeggProteinPathwayGlycosphingolipidBiosynthesisGanglioSeries,bio/BGAL_HUMAN
HMDBP00843,dcs:KeggProteinPathwayLysosome,bio/BGAL_HUMAN
HMDBP00843,dcs:KeggProteinPathwayOtherGlycanDegradation,bio/BGAL_HUMAN
HMDBP00843,dcs:KeggProteinPathwaySphingolipidMetabolism,bio/BGAL_HUMAN
HMDBP00844,dcs:KeggProteinPathwayTrnaQueuosineBiosynthesis,bio/TGT_HUMAN
HMDBP00845,dcs:KeggProteinPathwayFabryDisease,bio/CEGT_HUMAN
HMDBP00845,dcs:KeggProteinPathwayGaucherDisease,bio/CEGT_HUMAN
HMDBP00845,dcs:KeggProteinPathwayGloboidCellLeukodystrophy,bio/CEGT_HUMAN
HMDBP00845,dcs:KeggProteinPathwayKrabbeDisease,bio/CEGT_HUMAN
HMDBP00845,dcs:KeggProteinPathwayMetachromaticLeukodystrophyMld,bio/CEGT_HUMAN
HMDBP00845,dcs:KeggProteinPathwaySphingolipidMetabolism,bio/CEGT_HUMAN
HMDBP00846,dcs:KeggProteinPathway17BetaHydroxysteroidDehydrogenaseIiiDeficiency,bio/DHB3_HUMAN
HMDBP00846,dcs:KeggProteinPathwayAndrogenAndEstrogenMetabolism,bio/DHB3_HUMAN
HMDBP00846,dcs:KeggProteinPathwayAndrostenedioneMetabolism,bio/DHB3_HUMAN
HMDBP00846,dcs:KeggProteinPathwayAromataseDeficiency,bio/DHB3_HUMAN
HMDBP00846,dcs:KeggProteinPathwaySteroidHormoneBiosynthesis,bio/DHB3_HUMAN
HMDBP00846,dcs:KeggProteinPathwayTestosteroneBiosynthesis,bio/DHB3_HUMAN
HMDBP00847,dcs:KeggProteinPathway17BetaHydroxysteroidDehydrogenaseIiiDeficiency,bio/DHB1_HUMAN
HMDBP00847,dcs:KeggProteinPathwayAndrogenAndEstrogenMetabolism,bio/DHB1_HUMAN
HMDBP00847,dcs:KeggProteinPathwayAromataseDeficiency,bio/DHB1_HUMAN
HMDBP00847,dcs:KeggProteinPathwayEstrogenBiosynthesis,bio/DHB1_HUMAN
HMDBP00847,dcs:KeggProteinPathwayEstroneMetabolism,bio/DHB1_HUMAN
HMDBP00847,dcs:KeggProteinPathwaySteroidHormoneBiosynthesis,bio/DHB1_HUMAN
HMDBP00848,dcs:KeggProteinPathwayAlendronateActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayAtorvastatinActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayCerivastatinActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayChildSyndrome,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayCholesterylEsterStorageDisease,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayChondrodysplasiaPunctataIiXLinkedDominantCdpx2,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayDesmosterolosis,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayEstrogenBiosynthesis,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayFluvastatinActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayHyperIgdSyndrome,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayHypercholesterolemia,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayIbandronateActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayLovastatinActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayLysosomalAcidLipaseDeficiencyWolmanDisease,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayMevalonicAciduria,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayPamidronateActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayPravastatinActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayRisedronateActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayRosuvastatinActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwaySimvastatinActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwaySmithLemliOpitzSyndromeSlos,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwaySteroidBiosynthesis,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwaySteroidHormoneBiosynthesis,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayWolmanDisease,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayZoledronateActionPathway,bio/DHB7_HUMAN
HMDBP00848,dcs:KeggProteinPathwayZymosterolBiosynthesis,bio/DHB7_HUMAN
