accession,protein_type,general_function,specific_function,subcellular_location,residue_number,genbank_protein_id,uniprot_id,genbank_gene_id,genecard_id,hgnc_id,protein_dcid,gene19_dcid,gene38_dcid
HMDBP01192,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""May play a role in the transport of aminophospholipids from the outer to the inner leaflet of various membranes and the maintenance of asymmetric distribution of phospholipids in the canicular membrane. May have a role in transport of bile acids into the canaliculus, uptake of bile acids from intestinal contents into intestinal mucosa or both""",dcs:CellularCompartmentMembrane,1251,5031697,O43520,NM_005603.4,ATP8B1,3706,bio/AT8B1_HUMAN,bio/hg19_ATP8B1,bio/hg38_ATP8B1
HMDBP01193,dcs:ProteinTypeEnzyme,"""Involved in phosphorylase kinase activity""","""Phosphorylase b kinase catalyzes the phosphorylation of serine in certain substrates, including troponin I""",,387,17224425,Q16816,AF254253,PHKG1,8930,bio/PHKG1_HUMAN,bio/hg19_PHKG1,bio/hg38_PHKG1
HMDBP01194,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""Non-receptor tyrosine kinase involved in various processes such as cell cycle progression, apoptosis, mitotic recombination, genetic instability and histone modifications. In the cytoplasm, plays a pivotal role in signal transduction via its association with cytokine receptors, which constitutes an initiating step in signaling for many members of the cytokine receptor superfamily including the receptors for growth hormone (GHR), prolactin (PRLR), leptin (LEPR), erythropoietin (EPOR), granulocyte-macrophage colony-stimulating factor (CSF2), thrombopoietin (THPO) and multiple interleukins. Following stimulation with erythropoietin (EPO) during erythropoiesis, it is autophosphorylated and activated, leading to its association with erythropoietin receptor (EPOR) and tyrosine phosphorylation of residues in the EPOR cytoplasmic domain. Also involved in promoting the localization of EPOR to the plasma membrane. Also acts downstream of some G-protein coupled receptors. Plays a role in the control of body weight. In the nucleus, plays a key role in chromatin by specifically mediating phosphorylation of 'Tyr-41' of histone H3 (H3Y41ph), a specific tag that promotes exclusion of CBX5 (HP1 alpha) from chromatin""",dcs:CellularCompartmentNucleus,1132,3236322,O60674,AF001362,JAK2,6192,bio/JAK2_HUMAN,bio/hg19_JAK2,bio/hg38_JAK2
HMDBP01195,dcs:ProteinTypeUnknown,"""Involved in protein kinase activity""","""May play a key role in the development of multiple organ systems and particularly in cardiac development""",dcs:CellularCompartmentNucleus,632,7662388,Q9UPZ9,NM_014920.3,ICK,21219,bio/CILK1_HUMAN,bio/hg19_CILK1,bio/hg38_CILK1
HMDBP01196,dcs:ProteinTypeUnknown,"""Involved in protein kinase activity""","""Mediates stress-induced small heat shock protein 27 phosphorylation""",dcs:CellularCompartmentNucleus,473,21237768,Q8IW41,NM_139078.1,MAPKAPK5,6889,bio/MAPK5_HUMAN,bio/hg19_MAPKAPK5,bio/hg38_MAPKAPK5
HMDBP01197,dcs:ProteinTypeUnknown,"""Involved in protein kinase activity""","""Transient role during the earliest stages of myocardial cell differentiation and/or primitive chamber formation and may also be important for the earliest stages of skeletal muscle growth and/or differentiation. Potential role in G2/M cell cycle regulation. Inhibits CREB activity by phosphorylating and repressing the CREB-specific coactivators, CRTC1-3""",dcs:CellularCompartmentNucleus,783,56377677,P57059,AB047786,SIK1,11142,bio/SIK1_HUMAN,bio/hg19_SIK1,bio/hg38_SIK1
HMDBP01198,dcs:ProteinTypeEnzyme,"""Involved in protein serine/threonine kinase activity""","""Exhibits a preference for highly basic protein substrates""",dcs:CellularCompartmentCytoplasm,984,56204512,Q16513,AL136381,PKN2,9406,bio/PKN2_HUMAN,bio/hg19_PKN2,bio/hg38_PKN2
HMDBP01199,dcs:ProteinTypeEnzyme,"""Involved in sodium:potassium-exchanging ATPase activity""","""This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The exact function of the beta-3 subunit is not known""",dcs:CellularCompartmentMelanosome,279,,P54709,U51478,ATP1B3,806,bio/AT1B3_HUMAN,bio/hg19_ATP1B3,bio/hg38_ATP1B3
HMDBP01200,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium out of the cell.""",dcs:CellularCompartmentCellMembrane,1258,48255945,P20020,,ATP2B1,814,bio/AT2B1_HUMAN,bio/hg19_ATP2B1,bio/hg38_ATP2B1
HMDBP01201,dcs:ProteinTypeEnzyme,"""Involved in protein serine/threonine kinase activity""","""Phosphorylates ZNF622 and may contribute to its redirection to the nucleus. May be involved in the inhibition of spliceosome assembly during mitosis""",dcs:CellularCompartmentCytoplasm,651,122889201,Q14680,AL354932,MELK,16870,bio/MELK_HUMAN,bio/hg19_MELK,bio/hg38_MELK
HMDBP01202,dcs:ProteinTypeEnzyme,"""Involved in phosphatidylinositol phosphate kinase activity""","""Catalyzes the phosphorylation of phosphatidylinositol-5- phosphate on the fourth hydroxyl of the myo-inositol ring, to form phosphatidylinositol-4,5-biphosphate""",,406,57160667,P48426,AL157707,PIP4K2A,8997,bio/PI42A_HUMAN,bio/hg19_PIP4K2A,bio/hg38_PIP4K2A
HMDBP01203,dcs:ProteinTypeUnknown,"""Involved in MAP kinase activity""","""Plays a role in various cellular processes such as proliferation, differentiation and cell survival. The upstream activator of MAPK7 is the MAPK kinase MAP2K5. Upon activation, it translocates to the nucleus and phosphorylates various downstream targets including MEF2C. EGF activates MAPK7 through a Ras- independent and MAP2K5-dependent pathway. May have a role in muscle cell differentiation. May be important for endothelial function and maintenance of blood vessel integrity. MAP2K5 and MAPK7 interact specifically with one another and not with MEK1/ERK1 or MEK2/ERK2 pathways""",dcs:CellularCompartmentNucleus,816,20986497,Q13164,NM_002749.3,MAPK7,6880,bio/MK07_HUMAN,bio/hg19_MAPK7,bio/hg38_MAPK7
HMDBP01204,dcs:ProteinTypeUnknown,"""Involved in protein kinase activity""","""Dual specificity protein kinase activity catalyzing autophosphorylation and phosphorylation of exogenous substrates on both serine/threonine and tyrosine residues. Phosphorylates cofilin at 'Ser-3'. May play an important role in spermatogenesis""",dcs:CellularCompartmentNucleus,571,15207801,Q96S53,AB057597,TESK2,11732,bio/TESK2_HUMAN,bio/hg19_TESK2,bio/hg38_TESK2
HMDBP01205,dcs:ProteinTypeEnzyme,"""Carbohydrate transport and metabolism""","""nan""",,298,4557693,P50053,NM_000221.2,KHK,6315,bio/KHK_HUMAN,bio/hg19_KHK,bio/hg38_KHK
HMDBP01206,dcs:ProteinTypeEnzyme,"""Involved in hydrogen ion transporting ATP synthase activity, rotational mechanism""","""Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and of the central stalk which is part of the complex rotary element. Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits""",dcs:CellularCompartmentMitochondrion,51,8117712,P56381,AF052955,ATP5E,838,bio/ATP5E_HUMAN,bio/hg19_ATP5F1E,bio/hg38_ATP5F1E
HMDBP01207,dcs:ProteinTypeUnknown,"""Involved in protein serine/threonine kinase activity""","""Phosphorylates a large number of substrates in the cytoplasm and the nucleus""",,351,3115220,P22612,AJ001597,PRKACG,9382,bio/KAPCG_HUMAN,bio/hg19_PRKACG,bio/hg38_PRKACG
HMDBP01208,dcs:ProteinTypeEnzyme,"""Involved in binding""","""Phosphorylates PtdIns, PtdIns4P and PtdIns(4,5)P2 with a preference for PtdIns(4,5)P2""",,1070,,P42338,S67334,PIK3CB,8976,bio/PK3CB_HUMAN,bio/hg19_PIK3CB,bio/hg38_PIK3CB
HMDBP01209,dcs:ProteinTypeUnknown,"""Involved in transmembrane receptor protein serine/threonine kinase activity""","""On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for BMP-2 and BMP-4""",dcs:CellularCompartmentMembrane,532,158256960,P36894,AK291764,BMPR1A,1076,bio/BMR1A_HUMAN,bio/hg19_BMPR1A,bio/hg38_BMPR1A
HMDBP01211,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""Mediates phosphorylation of MECP2""",dcs:CellularCompartmentNucleus,1030,57208543,O76039,AL109798,CDKL5,11411,bio/CDKL5_HUMAN,bio/hg19_CDKL5,bio/hg38_CDKL5
HMDBP01212,dcs:ProteinTypeUnknown,"""Involved in protein kinase activity""","""May act as a negative regulator of entry into mitosis (G2 to M transition) by protecting the nucleus from cytoplasmically activated cyclin B1-complexed CDK1 before the onset of mitosis. Its activity increases during S and G2 phases and decreases at M phase when it is hyperphosphorylated. A correlated decrease in protein level occurs at M/G1 phase, probably due to its degradation. Specifically phosphorylates and inactivates cyclin B1-complexed CDK1 reaching a maximum during G2 phase and a minimum as cells enter M phase. Phosphorylation of cyclin B1-CDK1 occurs exclusively on 'Tyr-15' and phosphorylation of monomeric CDK1 does not occur""",dcs:CellularCompartmentNucleus,646,,P30291,U10564,WEE1,12761,bio/WEE1_HUMAN,bio/hg19_WEE1,bio/hg38_WEE1
HMDBP01213,dcs:ProteinTypeEnzyme,"""Involved in protein serine/threonine kinase activity""","""Implicated in the level of global muscle contraction and cardiac function. Phosphorylates a specific serine in the N- terminus of a myosin light chain""",dcs:CellularCompartmentCytoplasm,596,13194657,Q9H1R3,AF325549,MYLK2,16243,bio/MYLK2_HUMAN,bio/hg19_MYLK2,bio/hg38_MYLK2
HMDBP01214,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""May play a role in terminally differentiated neurons. Has a Ser/Thr-phosphorylating activity for histone H1""",,523,36617,Q00537,X66360,CDK17,8750,bio/CDK17_HUMAN,bio/hg19_CDK17,bio/hg38_CDK17
HMDBP01215,dcs:ProteinTypeEnzyme,"""Involved in hydrogen ion transporting ATP synthase activity, rotational mechanism""","""Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP turnover in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and of the central stalk which is part of the complex rotary element. Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits""",dcs:CellularCompartmentMitochondrion,168,,P30049,S87916,ATP5D,837,bio/ATPD_HUMAN,bio/hg19_ATP5F1D,bio/hg38_ATP5F1D
HMDBP01216,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""Phosphorylates KHDRBS1, KHDRBS2, KHDRBS3 and STAP2/BKS. May function as an intracellular signal transducer in epithelial tissues. Overexpression in mammary cells leads to mitogenically sensitization to EGF, and results in a partially transformed phenotype. Its presence in the nucleus appears to be linked to suppression of tumor progression""",dcs:CellularCompartmentNucleus,451,189054826,Q13882,AK315232,PTK6,9617,bio/PTK6_HUMAN,bio/hg19_PTK6,bio/hg38_PTK6
HMDBP01217,dcs:ProteinTypeUnknown,"""Involved in protein kinase activity""","""Protects against mitochondrial dysfunction during cellular stress, potentially by phosphorylating mitochondrial proteins""",dcs:CellularCompartmentSinglePassMembraneProtein,581,14149100,Q9BXM7,AB053323,PINK1,14581,bio/PINK1_HUMAN,bio/hg19_PINK1,bio/hg38_PINK1
HMDBP01218,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""May be involved in cell adhesion processes, particularly in the central nervous system. In case of filovirus infection, seems to function as a cell entry factor""",dcs:CellularCompartmentCellMembrane,890,,Q06418,U05682,TYRO3,12446,bio/TYRO3_HUMAN,bio/hg19_TYRO3,bio/hg38_TYRO3
HMDBP01219,dcs:ProteinTypeUnknown,"""Involved in intracellular signaling pathway""","""Involved in the transduction of mitogenic signals from the cell membrane to the nucleus""",,606,1340152,P10398,X04790,ARAF,646,bio/ARAF_HUMAN,bio/hg19_ARAF,bio/hg38_ARAF
HMDBP01220,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""ATP + H(2)O + phospholipid(In) = ADP + phosphate + phospholipid(Out)""",dcs:CellularCompartmentMembrane,1047,65301139,O75110,NM_006045.1,ATP9A,13540,bio/ATP9A_HUMAN,bio/hg19_ATP9A,bio/hg38_ATP9A
HMDBP01221,dcs:ProteinTypeUnknown,"""Involved in protein kinase activity""","""Calcium/calmodulin-dependent protein kinase belonging to a proposed calcium-triggered signaling cascade. May regulate calcium-mediated granulocyte function. May play a role in apoptosis of erythroleukemia cells. Activates MAP kinase MAPK3. In vitro, phosphorylates transcription factor CREM isoform Beta and probably CREB1""",dcs:CellularCompartmentCytoplasm,385,,Q8IU85,AB081726,CAMK1D,19341,bio/KCC1D_HUMAN,bio/hg19_CAMK1D,bio/hg38_CAMK1D
HMDBP01222,dcs:ProteinTypeUnknown,"""Involved in receptor signaling protein serine/threonine kinase activity""","""On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for TGF-beta. May bind activin as well""",dcs:CellularCompartmentMembrane,503,402197,P37023,Z22533,ACVRL1,175,bio/ACVL1_HUMAN,bio/hg19_ACVRL1,bio/hg38_ACVRL1
HMDBP01223,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""Orphan receptor with a tyrosine-protein kinase activity. Appears to play an important role in the normal development and function of the nervous system. Phosphorylates almost exclusively at the first tyrosine of the Y-x-x-x-Y-Y motif""",dcs:CellularCompartmentMembrane,1620,2454168,Q9UM73,U62540,ALK,427,bio/ALK_HUMAN,bio/hg19_ALK,bio/hg38_ALK
HMDBP01224,dcs:ProteinTypeEnzyme,"""Involved in sodium:potassium-exchanging ATPase activity""","""This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The exact function of the beta-2 subunit is not known""",dcs:CellularCompartmentMembrane,290,179245,P14415,M81181,ATP1B2,805,bio/AT1B2_HUMAN,bio/hg19_ATP1B2,bio/hg38_ATP1B2
HMDBP01225,dcs:ProteinTypeUnknown,"""Involved in receptor signaling protein serine/threonine kinase activity""","""On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for BMPS/OP-1""",dcs:CellularCompartmentMembrane,502,,O00238,D89675,BMPR1B,1077,bio/BMR1B_HUMAN,bio/hg19_BMPR1B,bio/hg38_BMPR1B
HMDBP01226,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium out of the cell.""",dcs:CellularCompartmentCellMembrane,1243,48255951,Q01814,NM_001001331.2,ATP2B2,815,bio/AT2B2_HUMAN,bio/hg19_ATP2B2,bio/hg38_ATP2B2
HMDBP01227,dcs:ProteinTypeUnknown,"""Involved in protein serine/threonine kinase activity""","""Serine/threonine kinase that may play a role in mediating the growth-factor and stress induced activation of the transcription factor CREB. Essential role in the control of RELA transcriptional activity in response to TNF. Phosphorylates 'Ser- 10' of histone H3 in response to mitogenics, stress stimuli and epidemal growth-factor (EGF) and result in the transcriptional activation of several immediate early genes, including proto- oncogenes FOS and JUN. Mediates the mitogen- and stress-induced phosphorylation of high mobility group protein 14 (HMG-14)""",dcs:CellularCompartmentNucleus,772,3452409,O75676,AJ010119,RPS6KA4,10433,bio/KS6A4_HUMAN,bio/hg19_RPS6KA4,bio/hg38_RPS6KA4
HMDBP01228,dcs:ProteinTypeUnknown,"""Involved in sodium:potassium-exchanging ATPase activity""","""This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane""",dcs:CellularCompartmentMembrane,303,28933,P05026,X03747,ATP1B1,804,bio/AT1B1_HUMAN,bio/hg19_ATP1B1,bio/hg38_ATP1B1
HMDBP01230,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""Promotes infectivity of Neisseria gonorrhoeae in epithelial cells by phosphorylating MCP/CD46""",dcs:CellularCompartmentCytoplasm,543,,P07947,M15990,YES1,12841,bio/YES_HUMAN,bio/hg19_YES1,bio/hg38_YES1
HMDBP01231,dcs:ProteinTypeEnzyme,"""Involved in binding""","""Serine/threonine protein kinase which activates checkpoint signaling upon double strand breaks (DSBs), apoptosis and genotoxic stresses such as ionizing ultraviolet A light (UVA), thereby acting as a DNA damage sensor. Recognizes the substrate consensus sequence [ST]-Q. Phosphorylates 'Ser-139' of histone variant H2AX/H2AFX at double strand breaks (DSBs), thereby regulating DNA damage response mechanism. Also plays a role in pre-B cell allelic exclusion, a process leading to expression of a single immunoglobulin heavy chain allele to enforce clonality and monospecific recognition by the B-cell antigen receptor (BCR) expressed on individual B lymphocytes. After the introduction of DNA breaks by the RAG complex on one immunoglobulin allele, acts by mediating a repositioning of the second allele to pericentromeric heterochromatin, preventing accessibility to the RAG complex and recombination of the second allele. Also involved in signal transduction and cell cycle control. May function as a tumor suppressor. Necessary for activation of ABL1 and SAPK. Phosphorylates p53/TP53, FANCD2, NFKBIA, BRCA1, CTIP, nibrin (NBN), TERF1, RAD9 and DCLRE1C. May play a role in vesicle and/or protein transport. Could play a role in T-cell development, gonad and neurological function. Plays a role in replication-dependent histone mRNA degradation. Binds DNA ends""",dcs:CellularCompartmentNucleus,3056,71902540,Q13315,NM_000051.3,ATM,795,bio/ATM_HUMAN,bio/hg19_ATM,bio/hg38_ATM
HMDBP01233,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""Dual-specificity kinase which possesses both serine/ threonine and tyrosine kinase activities. Enhances the transcriptional activity of TCF1/HNF1A and FOXO1. Inhibits epithelial cell migration. Mediates colon carcinoma cell survival in mitogen-poor environments""",dcs:CellularCompartmentNucleus,629,6538760,Q9Y463,AF205861,DYRK1B,3092,bio/DYR1B_HUMAN,bio/hg19_DYRK1B,bio/hg38_DYRK1B
HMDBP01234,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""Receptor for acidic fibroblast growth factor. Does not bind to basic fibroblast growth factor. Binds FGF19""",dcs:CellularCompartmentMembrane,802,31372,P22455,X57205,FGFR4,3691,bio/FGFR4_HUMAN,bio/hg19_FGFR4,bio/hg38_FGFR4
HMDBP01235,dcs:ProteinTypeUnknown,"""Involved in protein serine/threonine kinase activity""","""May play a role in the response to environmental stress and cytokines. Appears to regulate transcription by phosphorylating EIF4E, thus increasing the affinity of this protein for the 7-methylguanosine-containing mRNA cap""",,465,40018627,Q9HBH9,NM_199054.2,MKNK2,7111,bio/MKNK2_HUMAN,bio/hg19_MKNK2,bio/hg38_MKNK2
HMDBP01236,dcs:ProteinTypeEnzyme,"""Involved in binding""","""Phosphorylates PtdIns, PtdIns4P and PtdIns(4,5)P2 with a preference for PtdIns(4,5)P2""",,1068,472991,P42336,Z29090,PIK3CA,8975,bio/PK3CA_HUMAN,bio/hg19_PIK3CA,bio/hg38_PIK3CA
HMDBP01237,dcs:ProteinTypeUnknown,"""Involved in receptor signaling protein serine/threonine kinase activity""","""On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for TGF-beta""",dcs:CellularCompartmentMembrane,567,67782324,P37173,NM_003242.5,TGFBR2,11773,bio/TGFR2_HUMAN,bio/hg19_TGFBR2,bio/hg38_TGFBR2
HMDBP01238,dcs:ProteinTypeUnknown,"""Involved in protein kinase activity""","""Activity is required for interleukin 6 (IL-6) induced differentiation. May play a role in the growth and differentiation of hematopoietic cells. May be involved in signal transduction in endocardial and arterial endothelial cells""",dcs:CellularCompartmentCytoplasm,675,4502435,P51813,NM_001721.6,BMX,1079,bio/BMX_HUMAN,bio/hg19_BMX,bio/hg38_BMX
HMDBP01239,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""ATP + H(2)O + phospholipid(In) = ADP + phosphate + phospholipid(Out)""",dcs:CellularCompartmentMembrane,1426,222352161,Q9P241,NM_020453.3,ATP10D,13549,bio/AT10D_HUMAN,bio/hg19_ATP10D,bio/hg38_ATP10D
HMDBP01240,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""Able to phosphorylate CDKN1B in vitro. Involved in cell cycle progression and suppression of apoptosis. Implicated in proliferation of human hepatoma cell lines""",,326,51870677,Q86V86,AB114795,PIM3,19310,bio/PIM3_HUMAN,bio/hg19_PIM3,bio/hg38_PIM3
HMDBP01241,dcs:ProteinTypeEnzyme,"""Involved in protein serine/threonine kinase activity""","""ATP + a protein = ADP + a phosphoprotein""",,714,6850973,P57058,AJ271722,HUNK,13326,bio/HUNK_HUMAN,bio/hg19_HUNK,bio/hg38_HUNK
HMDBP01242,dcs:ProteinTypeUnknown,"""Involved in protein serine/threonine kinase activity""","""Involved in the regulation of structural processes in differentiating and mature neuronal cells""",dcs:CellularCompartmentCytoplasm,464,24307971,Q9Y2H1,NM_015000.3,STK38L,17848,bio/ST38L_HUMAN,bio/hg19_STK38L,bio/hg38_STK38L
HMDBP01243,dcs:ProteinTypeEnzyme,"""Involved in protein serine/threonine kinase activity""","""ATP + a protein = ADP + a phosphoprotein""",,752,21743250,Q96L34,AB088047,MARK4,13538,bio/MARK4_HUMAN,bio/hg19_MARK4,bio/hg38_MARK4
HMDBP01244,dcs:ProteinTypeUnknown,"""Involved in ion channel activity""","""Essential ion channel and serine/threonine-protein kinase. Crucial for magnesium homeostasis. Has an important role in epithelial magnesium transport and in the active magnesium absorption in the gut and kidney. Isoforms of the type M6-kinase lack the ion channel region""",dcs:CellularCompartmentMembrane,2022,,Q9BX84,AF350881,TRPM6,17995,bio/TRPM6_HUMAN,bio/hg19_TRPM6,bio/hg38_TRPM6
HMDBP01245,dcs:ProteinTypeEnzyme,"""Involved in transmembrane receptor protein tyrosine kinase activity""","""This receptor probably binds an insulin related protein and has a tyrosine-protein kinase activity. It phosphorylates the insulin receptor substrates IRS-1 and IRS-2""",dcs:CellularCompartmentMembrane,1297,31657140,P14616,NM_014215.1,INSRR,6093,bio/INSRR_HUMAN,bio/hg19_INSRR,bio/hg38_INSRR
HMDBP01246,dcs:ProteinTypeEnzyme,"""Involved in ephrin receptor activity""","""Receptor for members of the ephrin-A family. Binds to ephrin-A1, -A3, -A4 and -A5. Plays an important role in angiogenesis and tumor neovascularization. The recruitement of VAV2, VAV3 and PI3-kinase p85 subunit by phosphorylated EPHA2 is critical for EFNA1-induced RAC1 GTPase activation and vascular endothelial cell migration and assembly. Induces apoptosis in a TP53/p53-independent, caspase-8-dependent manner""",dcs:CellularCompartmentMembrane,976,55665160,P29317,AL451042,EPHA2,3386,bio/EPHA2_HUMAN,bio/hg19_EPHA2,bio/hg38_EPHA2
HMDBP01247,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""ATP + H(2)O + phospholipid(In) = ADP + phosphate + phospholipid(Out)""",dcs:CellularCompartmentMembrane,1148,117168245,Q9NTI2,NM_016529,ATP8A2,13533,bio/AT8A2_HUMAN,bio/hg19_ATP8A2,bio/hg38_ATP8A2
HMDBP01248,dcs:ProteinTypeUnknown,"""Involved in protein kinase activity""","""Regulates cell cycle checkpoints and apoptosis in response to DNA damage, particularly to DNA double-strand breaks. Inhibits CDC25C phosphatase by phosphorylation on 'Ser-216', preventing the entry into mitosis. May also play a role in meiosis. Regulates the TP53 tumor suppressor through phosphorylation at 'Thr-18' and 'Ser-20'""",dcs:CellularCompartmentNucleus,543,,O96017,AF086904,CHEK2,16627,bio/CHK2_HUMAN,bio/hg19_CHEK2,bio/hg38_CHEK2
HMDBP01251,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium (By similarity).""",dcs:CellularCompartmentMembrane,946,55668314,O75185,AY791884,ATP2C2,29103,bio/AT2C2_HUMAN,bio/hg19_ATP2C2,bio/hg38_ATP2C2
HMDBP01252,dcs:ProteinTypeUnknown,"""Involved in binding""","""Phosphorylates PtdIns and PtdIns4P with a preference for PtdIns. Does not phosphorylate PtdIns(4,5)P2. May be involved in EGF and PDGF signaling cascades""",dcs:CellularCompartmentCellMembrane,1634,2076604,O00750,Y11312,PIK3C2B,8972,bio/P3C2B_HUMAN,bio/hg19_PIK3C2B,bio/hg38_PIK3C2B
HMDBP01253,dcs:ProteinTypeUnknown,"""Involved in protein kinase activity""","""The activated kinase acts on a variety of targets""",,681,9082306,Q9NQU5,AF276893,PAK6,16061,bio/PAK6_HUMAN,bio/hg19_PAK6,bio/hg38_PAK6
HMDBP01254,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""Phosphorylates serine- and arginine-rich (SR) proteins of the spliceosomal complex may be a constituent of a network of regulatory mechanisms that enable SR proteins to control RNA splicing. Phosphorylates serines, threonines and tyrosines""",dcs:CellularCompartmentNucleus,484,62822173,P49759,AC005037,CLK1,2068,bio/CLK1_HUMAN,bio/hg19_CLK1,bio/hg38_CLK1
HMDBP01255,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium. Transports calcium ions from the cytosol into the sarcoplasmic/endoplasmic reticulum lumen. Contributes to calcium sequestration involved in muscular excitation/contraction.""",dcs:CellularCompartmentEndoplasmicReticulumMembrane,1043,28373109,Q93084,NM_174955.1,ATP2A3,813,bio/AT2A3_HUMAN,bio/hg19_ATP2A3,bio/hg38_ATP2A3
HMDBP01256,dcs:ProteinTypeEnzyme,"""Involved in protein kinase activity""","""May serve as part of a signaling pathway coupling the Fc receptor to the activation of the respiratory burst. May also contribute to neutrophil migration and may regulate the degranulation process of neutrophils""",dcs:CellularCompartmentLipidAnchor,526,30795229,P08631,NM_002110.3,HCK,4840,bio/HCK_HUMAN,bio/hg19_HCK,bio/hg38_HCK
HMDBP01257,dcs:ProteinTypeEnzyme,"""Involved in hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances""","""Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells""",dcs:CellularCompartmentCytoplasm,382,37643,P21283,X69151,ATP6V1C1,856,bio/VATC1_HUMAN,bio/hg19_ATP6V1C1,bio/hg38_ATP6V1C1
HMDBP01258,dcs:ProteinTypeUnknown,"""Involved in protein serine/threonine kinase activity""","""Protein kinase that plays an important role in cellular stress response. Activates certain potassium, sodium, and chloride channels, suggesting an involvement in the regulation of processes such as cell survival, neuronal excitability and renal sodium excretion. Sustained high levels and activity may contribute to conditions such as hypertension and diabetic nephropathy. Mediates cell survival signals, phosphorylates and negatively regulates pro-apoptotic FOXO3A. Phosphorylates NEDD4L, which leads to its inactivation and to the subsequent activation of various channels and transporters such as ENaC, KCNA3/Kv1.3 or EAAT1. Isoform 2 exhibited a greater effect on cell plasma membrane expression of ENaC and Na(+) transport than isoform 1""",dcs:CellularCompartmentNucleus,431,1834511,O00141,Y10032,SGK1,10810,bio/SGK1_HUMAN,bio/hg19_SGK1,bio/hg38_SGK1
